WKT,name,description
"LINESTRING (11.821144 58.052914 0.0, 11.82147 58.052706 0.0, 11.821857 58.052527 0.0, 11.822109 58.052275 0.0, 11.822334 58.051849 0.0, 11.822758 58.0514 0.0, 11.822854 58.051219 0.0, 11.823013 58.051012 0.0, 11.823187 58.051063 0.0, 11.82331 58.051097 0.0, 11.825612 58.05148 0.0, 11.825944 58.05152 0.0, 11.826357 58.051466 0.0, 11.82655 58.051409 0.0, 11.826888 58.051298 0.0, 11.827162 58.051276 0.0, 11.827409 58.051278 0.0, 11.828535 58.051412 0.0, 11.828643 58.051414 0.0, 11.828707 58.051395 0.0, 11.828723 58.051216 0.0)",620 m,
"LINESTRING (11.828723 58.051216 0.0, 11.828707 58.051395 0.0, 11.828771 58.051432 0.0, 11.829106 58.05143 0.0, 11.83036 58.051356 0.0, 11.831331 58.051311 0.0, 11.831824 58.051345 0.0, 11.832318 58.051532 0.0, 11.83271 58.051612 0.0, 11.833257 58.051629 0.0, 11.833949 58.051589 0.0, 11.834346 58.051603 0.0, 11.837114 58.051858 0.0)",530 m,
"LINESTRING (11.837114 58.051858 0.0, 11.838391 58.052 0.0, 11.838772 58.052062 0.0, 11.839914 58.052355 0.0, 11.840403 58.052488 0.0, 11.840842 58.052542 0.0, 11.84125 58.052556 0.0, 11.84183 58.052548 0.0, 11.841888 58.052505 0.0, 11.84201 58.052266 0.0)",330 m,
"LINESTRING (11.837114 58.051858 0.0, 11.836682 58.052055 0.0, 11.836612 58.052112 0.0, 11.836553 58.052178 0.0, 11.836574 58.052544 0.0, 11.836515 58.052683 0.0, 11.836403 58.052765 0.0, 11.835163 58.053776 0.0, 11.834938 58.053892 0.0, 11.834729 58.054031 0.0, 11.834702 58.054164 0.0, 11.834741 58.054239 0.0)",330 m,
"LINESTRING (11.834761 58.057045 0.0, 11.835527 58.056954 0.0, 11.836739 58.056892 0.0, 11.840162 58.056954 0.0, 11.840382 58.056957 0.0, 11.840977 58.056912 0.0, 11.841315 58.056838 0.0, 11.841551 58.056824 0.0, 11.841631 58.056872 0.0, 11.841755 58.057034 0.0, 11.841905 58.057059 0.0)",450 m,
"LINESTRING (11.818005 58.059066 0.0, 11.817814 58.059169 0.0, 11.817728 58.059274 0.0, 11.817707 58.059612 0.0, 11.817535 58.059774 0.0, 11.817101 58.059964 0.0, 11.81687 58.060163 0.0, 11.816827 58.060361 0.0, 11.81687 58.060705 0.0, 11.816795 58.060935 0.0, 11.816543 58.061187 0.0, 11.816114 58.061491 0.0, 11.81548 58.061897 0.0, 11.815116 58.062104 0.0, 11.814644 58.062331 0.0, 11.813796 58.061953 0.0)",480 m,
"LINESTRING (11.822096 58.060542 0.0, 11.822236 58.060337 0.0, 11.822427 58.060401 0.0, 11.822658 58.060421 0.0, 11.822867 58.060302 0.0, 11.823302 58.0601 0.0, 11.823913 58.059924 0.0, 11.824691 58.059433 0.0, 11.824976 58.059331 0.0, 11.825351 58.059317 0.0, 11.825807 58.059499 0.0, 11.826188 58.059748 0.0, 11.826386 58.059873 0.0, 11.82683 58.059993 0.0, 11.826621 58.060175 0.0, 11.826337 58.060271 0.0, 11.826358 58.060402 0.0, 11.82614 58.060435 0.0)",450 m,
"LINESTRING (11.826138 58.060436 0.0, 11.826358 58.060402 0.0, 11.826337 58.060271 0.0, 11.826621 58.060175 0.0, 11.82683 58.059993 0.0, 11.827457 58.060158 0.0, 11.827653 58.06026 0.0, 11.828796 58.061055 0.0, 11.829026 58.061184 0.0, 11.829195 58.061241 0.0, 11.829514 58.061274 0.0, 11.830587 58.061332 0.0, 11.831017 58.061389 0.0, 11.831146 58.061387 0.0, 11.831268 58.061352 0.0, 11.831449 58.061399 0.0)",410 m,
"LINESTRING (11.829562 58.059941 0.0, 11.829873 58.059859 0.0, 11.830044 58.059733 0.0, 11.831814 58.059188 0.0, 11.83294 58.059537 0.0, 11.833284 58.059602 0.0, 11.833364 58.059585 0.0, 11.833536 58.059492 0.0, 11.833643 58.059463 0.0, 11.834362 58.05952 0.0)",330 m,
"LINESTRING (11.831449 58.061399 0.0, 11.83149 58.061261 0.0, 11.831396 58.061103 0.0, 11.830849 58.060758 0.0, 11.830538 58.060627 0.0, 11.830323 58.060474 0.0, 11.8302 58.060216 0.0, 11.829873 58.059859 0.0, 11.829562 58.059941 0.0)",230 m,
